"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,09:45:00,09:45:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,20:25:00,20:25:00
"SHILOH SCOTT","UMSL SOUTH METROLINK STATION",5,19:58:00,19:58:00
"SHILOH SCOTT","UMSL SOUTH METROLINK STATION",5,19:58:00,19:58:00
"SHILOH SCOTT","UMSL SOUTH METROLINK STATION",5,22:58:00,22:58:00
"SHILOH SCOTT","UMSL SOUTH METROLINK STATION",5,23:22:00,23:22:00
"SHILOH SCOTT","UMSL SOUTH METROLINK STATION",5,18:18:00,18:18:00
"SHILOH SCOTT","UMSL SOUTH METROLINK STATION",5,12:58:00,12:58:00
"SHILOH SCOTT","UMSL SOUTH METROLINK STATION",5,08:18:00,08:18:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,07:31:00,07:31:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,07:19:00,07:19:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,08:43:00,08:43:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,08:31:00,08:31:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,10:45:00,10:45:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,15:45:00,15:45:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,14:45:00,14:45:00
"LAMBERT AIRPORT TERMINAL #1","UMSL SOUTH METROLINK STATION",24,15:05:00,15:05:00
"CIVIC CENTER","UMSL SOUTH METROLINK STATION",5,25:08:00,25:08:00
"CIVIC CENTER","UMSL SOUTH METROLINK STATION",5,24:38:00,24:38:00
"FAIRVIEW HEIGHTS","UMSL SOUTH METROLINK STATION",5,24:19:00,24:19:00
"FAIRVIEW HEIGHTS","UMSL SOUTH METROLINK STATION",5,23:52:00,23:52:00
